emp_id,Last_Nm,First_Nm,Full_Name,Email,Dept_Name,UserName,OfficePhone,IsActive,Created,CreatedBy,Modified,ModifiedBy,RowVersion,CurrentUserName
1,Zorbax,Xylith,Xylith Zorbax,xzorbax@acmeco.net,,xzorbax,555-555-3214,FALSE,10/10/2011,ACME\admin,6/17/2014,ACME\admin,3,xzorbax
2,Frostwind,Elara,Elara Frostwind,efrostwind@acmeco.net,,efrostwind,8345,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,efrostwind
3,Quicksilver,Zephyr,Zephyr Quicksilver,zquicksilver@acmeco.net,,zquicksilver,8346,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,zquicksilver
4,Moonstone,Lyra,Lyra Moonstone,lmoonstone@acmeco.net,,lmoonstone,555-555-3205,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,lmoonstone
5,Stormrider,Kael,Kael Stormrider,kstormrider@acmeco.net,,kstormrider,555-555-3404,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,kstormrider
6,Nightshade,Raven,Raven Nightshade,rnightshade@acmeco.net,,rnightshade,,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,rnightshade
7,Sunburst,Apollo,Apollo Sunburst,asunburst@acmeco.net,,asunburst,8325,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,asunburst
8,Starfall,Nova,Nova Starfall,nstarfall@acmeco.net,,nstarfall,555-555-3325,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,nstarfall
10,Thunderbolt,Thor,Thor Thunderbolt,tthunderbolt@acmeco.net,,tthunderbolt,555-555-3285,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,3,tthunderbolt
11,Dewdrop,Iris,Iris Dewdrop,idewdrop@acmeco.net,,idewdrop,8365,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,idewdrop
12,Flameheart,Ember,Ember Flameheart,eflameheart@acmeco.net,,eflameheart,8347,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,eflameheart
13,Shadowmist,Onyx,Onyx Shadowmist,oshadowmist@acmeco.net,,oshadowmist,,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,oshadowmist
14,Lightwing,Aurora,Aurora Lightwing,alightwing@acmeco.net,,alightwing,,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,alightwing
15,Rockfist,Granite,Granite Rockfist,grockfist@acmeco.net,,grockfist,8314,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,grockfist
16,Moonshadow,Luna,Luna Moonshadow,lmoonshadow@acmeco.net,,lmoonshadow,555-555-3362,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,lmoonshadow
17,Swiftwind,Zephyr,Zephyr Swiftwind,zswiftwind@acmeco.net,,zswiftwind,8326,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,zswiftwind
18,Frostbite,Glacier,Glacier Frostbite,gfrostbite@acmeco.net,,gfrostbite,555-555-3275,FALSE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,3,gfrostbite
